YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Type,Total,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategoryId1,StratificationID1,data_StratificationCategory
2021,2021,GA,Georgia,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(32.83968109300048, -83.62758034599966)",0,BF2,Q016,VALUE,13,OVR,OVERALL,Total
2021,2021,GU,Guam,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(13.444304, 144.793731)",0,BF2,Q016,VALUE,66,OVR,OVERALL,Total
2021,2021,HI,Hawaii,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(21.304850435000446, -157.85774940299973)",0,BF2,Q016,VALUE,15,OVR,OVERALL,Total
2021,2021,ID,Idaho,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(43.682630005000476, -114.3637300419997)",0,BF2,Q016,VALUE,16,OVR,OVERALL,Total
2021,2021,IL,Illinois,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(40.48501028300046, -88.99771017799969)",0,BF2,Q016,VALUE,17,OVR,OVERALL,Total
2021,2021,IN,Indiana,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(39.766910452000445, -86.14996019399968)",0,BF2,Q016,VALUE,18,OVR,OVERALL,Total
2021,2021,IA,Iowa,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(42.46940091300047, -93.81649055599968)",0,BF2,Q016,VALUE,19,OVR,OVERALL,Total
2021,2021,KS,Kansas,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(38.34774030000045, -98.20078122699965)",0,BF2,Q016,VALUE,20,OVR,OVERALL,Total
2021,2021,KY,Kentucky,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(37.645970271000465, -84.77497104799966)",0,BF2,Q016,VALUE,21,OVR,OVERALL,Total
2021,2021,LA,Louisiana,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(31.31266064400046, -92.44568007099969)",0,BF2,Q016,VALUE,22,OVR,OVERALL,Total
2021,2021,ME,Maine,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(45.254228894000505, -68.98503133599962)",0,BF2,Q016,VALUE,23,OVR,OVERALL,Total
2021,2021,MD,Maryland,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(39.29058096400047, -76.60926011099963)",0,BF2,Q016,VALUE,24,OVR,OVERALL,Total
2021,2021,MA,Massachusetts,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(42.27687047000046, -72.08269067499964)",0,BF2,Q016,VALUE,25,OVR,OVERALL,Total
2021,2021,MI,Michigan,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(44.6613195430005, -84.71439026999968)",0,BF2,Q016,VALUE,26,OVR,OVERALL,Total
2021,2021,MN,Minnesota,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(46.35564873600049, -94.79420050299967)",0,BF2,Q016,VALUE,27,OVR,OVERALL,Total
2021,2021,MS,Mississippi,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(32.745510099000455, -89.53803082499968)",0,BF2,Q016,VALUE,28,OVR,OVERALL,Total
2021,2021,MO,Missouri,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(38.635790776000476, -92.56630005299968)",0,BF2,Q016,VALUE,29,OVR,OVERALL,Total
2021,2021,MT,Montana,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(47.06652897200047, -109.42442064499971)",0,BF2,Q016,VALUE,30,OVR,OVERALL,Total
2021,2021,NE,Nebraska,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(41.6410409880005, -99.36572062299967)",0,BF2,Q016,VALUE,31,OVR,OVERALL,Total
2021,2021,NV,Nevada,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(39.493240390000494, -117.07184056399967)",0,BF2,Q016,VALUE,32,OVR,OVERALL,Total
2021,2021,NH,New Hampshire,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(43.65595011300047, -71.50036091999965)",0,BF2,Q016,VALUE,33,OVR,OVERALL,Total
2021,2021,NJ,New Jersey,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(40.13057004800049, -74.27369128799967)",0,BF2,Q016,VALUE,34,OVR,OVERALL,Total
2021,2021,NM,New Mexico,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(34.52088095200048, -106.24058098499967)",0,BF2,Q016,VALUE,35,OVR,OVERALL,Total
2021,2021,NY,New York,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(42.82700103200045, -75.54397042699964)",0,BF2,Q016,VALUE,36,OVR,OVERALL,Total
2021,2021,NC,North Carolina,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(35.466220975000454, -79.15925046299964)",0,BF2,Q016,VALUE,37,OVR,OVERALL,Total
2021,2021,ND,North Dakota,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(47.47531977900047, -100.11842104899966)",0,BF2,Q016,VALUE,38,OVR,OVERALL,Total
2021,2021,OH,Ohio,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(40.06021014100048, -82.40426005599966)",0,BF2,Q016,VALUE,39,OVR,OVERALL,Total
2021,2021,OK,Oklahoma,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(35.47203135600046, -97.52107021399968)",0,BF2,Q016,VALUE,40,OVR,OVERALL,Total
2021,2021,OR,Oregon,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(44.56744942400047, -120.15503132599969)",0,BF2,Q016,VALUE,41,OVR,OVERALL,Total
2021,2021,PA,Pennsylvania,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(40.79373015200048, -77.86070029399963)",0,BF2,Q016,VALUE,42,OVR,OVERALL,Total
2021,2021,PR,Puerto Rico,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(18.220833, -66.590149)",0,BF2,Q016,VALUE,72,OVR,OVERALL,Total
2021,2021,RI,Rhode Island,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(41.70828019300046, -71.52247031399963)",0,BF2,Q016,VALUE,44,OVR,OVERALL,Total
2021,2021,SC,South Carolina,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(33.998821303000454, -81.04537120699968)",0,BF2,Q016,VALUE,45,OVR,OVERALL,Total
2021,2021,SD,South Dakota,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(44.353130053000484, -100.3735306369997)",0,BF2,Q016,VALUE,46,OVR,OVERALL,Total
2021,2021,TN,Tennessee,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(35.68094058000048, -85.77449091399967)",0,BF2,Q016,VALUE,47,OVR,OVERALL,Total
2021,2021,TX,Texas,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(31.827240407000488, -99.42677020599967)",0,BF2,Q016,VALUE,48,OVR,OVERALL,Total
2021,2021,UT,Utah,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(39.360700171000474, -111.58713063499971)",0,BF2,Q016,VALUE,49,OVR,OVERALL,Total
2021,2021,VT,Vermont,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(43.62538123900049, -72.51764079099962)",0,BF2,Q016,VALUE,50,OVR,OVERALL,Total
2021,2021,VA,Virginia,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(37.54268067400045, -78.45789046299967)",0,BF2,Q016,VALUE,51,OVR,OVERALL,Total
2021,2021,VI,Virgin Islands,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(18.335765, -64.896335)",0,BF2,Q016,VALUE,78,OVR,OVERALL,Total
2021,2021,WA,Washington,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(47.52227862900048, -120.47001078999972)",0,BF2,Q016,VALUE,53,OVR,OVERALL,Total
2021,2021,WV,West Virginia,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(38.66551020200046, -80.71264013499967)",0,BF2,Q016,VALUE,54,OVR,OVERALL,Total
2021,2021,WI,Wisconsin,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(44.39319117400049, -89.81637074199966)",0,BF2,Q016,VALUE,55,OVR,OVERALL,Total
2021,2021,WY,Wyoming,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(43.23554134300048, -108.10983035299967)",0,BF2,Q016,VALUE,56,OVR,OVERALL,Total
2020,2020,AL,Alabama,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(32.840571122, -86.631860762)",0,BF2,Q009,VALUE,1,OVR,OVERALL,Total
2020,2020,AK,Alaska,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(64.845079957001, -147.722059036)",0,BF2,Q009,VALUE,2,OVR,OVERALL,Total
2020,2020,AZ,Arizona,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(34.86597028, -111.763811277)",0,BF2,Q009,VALUE,4,OVR,OVERALL,Total
2020,2020,AR,Arkansas,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(34.748650124, -92.274490743)",0,BF2,Q009,VALUE,5,OVR,OVERALL,Total
2020,2020,CA,California,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(37.638640123, -120.999999538)",0,BF2,Q009,VALUE,6,OVR,OVERALL,Total
2020,2020,CO,Colorado,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(38.843840757, -106.133610921)",0,BF2,Q009,VALUE,8,OVR,OVERALL,Total
2020,2020,CT,Connecticut,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(41.56266102, -72.649840952)",0,BF2,Q009,VALUE,9,OVR,OVERALL,Total
2020,2020,DE,Delaware,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(39.008830667, -75.577741168)",0,BF2,Q009,VALUE,10,OVR,OVERALL,Total
2020,2020,DC,District of Columbia,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(38.890371385, -77.031961127)",0,BF2,Q009,VALUE,11,OVR,OVERALL,Total
2020,2020,FL,Florida,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(28.932040377, -81.928960539)",0,BF2,Q009,VALUE,12,OVR,OVERALL,Total
2020,2020,GA,Georgia,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(32.839681093, -83.627580346)",0,BF2,Q009,VALUE,13,OVR,OVERALL,Total
2020,2020,HI,Hawaii,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(21.304850435, -157.857749403)",0,BF2,Q009,VALUE,15,OVR,OVERALL,Total
2020,2020,ID,Idaho,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(43.682630005, -114.363730042)",0,BF2,Q009,VALUE,16,OVR,OVERALL,Total
2020,2020,IL,Illinois,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(40.485010283, -88.997710178)",0,BF2,Q009,VALUE,17,OVR,OVERALL,Total
2020,2020,IN,Indiana,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(39.766910452, -86.149960194)",0,BF2,Q009,VALUE,18,OVR,OVERALL,Total
2020,2020,IA,Iowa,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(42.469400913, -93.816490556)",0,BF2,Q009,VALUE,19,OVR,OVERALL,Total
2020,2020,KS,Kansas,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(38.3477403, -98.200781227)",0,BF2,Q009,VALUE,20,OVR,OVERALL,Total
2020,2020,KY,Kentucky,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(37.645970271, -84.774971048)",0,BF2,Q009,VALUE,21,OVR,OVERALL,Total
2020,2020,LA,Louisiana,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(31.312660644, -92.445680071)",0,BF2,Q009,VALUE,22,OVR,OVERALL,Total
2020,2020,ME,Maine,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(45.254228894001, -68.985031336)",0,BF2,Q009,VALUE,23,OVR,OVERALL,Total
2020,2020,MD,Maryland,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(39.290580964, -76.609260111)",0,BF2,Q009,VALUE,24,OVR,OVERALL,Total
2020,2020,MA,Massachusetts,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(42.27687047, -72.082690675)",0,BF2,Q009,VALUE,25,OVR,OVERALL,Total
2020,2020,MI,Michigan,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(44.661319543001, -84.71439027)",0,BF2,Q009,VALUE,26,OVR,OVERALL,Total
2020,2020,MN,Minnesota,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(46.355648736, -94.794200503)",0,BF2,Q009,VALUE,27,OVR,OVERALL,Total
2020,2020,MS,Mississippi,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(32.745510099, -89.538030825)",0,BF2,Q009,VALUE,28,OVR,OVERALL,Total
2020,2020,MO,Missouri,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(38.635790776, -92.566300053)",0,BF2,Q009,VALUE,29,OVR,OVERALL,Total
2020,2020,MT,Montana,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(47.066528972, -109.424420645)",0,BF2,Q009,VALUE,30,OVR,OVERALL,Total
2020,2020,NE,Nebraska,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(41.641040988001, -99.365720623)",0,BF2,Q009,VALUE,31,OVR,OVERALL,Total
2020,2020,NV,Nevada,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(39.49324039, -117.071840564)",0,BF2,Q009,VALUE,32,OVR,OVERALL,Total
2020,2020,NH,New Hampshire,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,Value,Total,"(43.655950113, -71.50036092)",0,BF2,Q009,VALUE,33,OVR,OVERALL,Total
